wilayah;kecamatan;kelurahan;nama_halte;lokasi
Jakarta Timur;Cakung;Rawatrate;Tipar Cakung;Jalan Raya Bekasi
Jakarta Pusat;Gambir;Sawah Besar;Istiqlal;Jalan Perwira
Jakarta Pusat;Sawah Besar;Sawah Besar;Jembatan Merah;Jalan Gunung Sahari Raya
Jakarta Pusat;Sawah Besar;Sawah Besar;Juanda;Jalan Insinyur Haji Juanda
Jakarta Pusat;Sawah Besar;Sawah Besar;Mangga Dua;Jalan Mangga Dua Raya
Jakarta Pusat;Sawah Besar;Sawah Besar;Pasar Baru;Jalan Pos
Jakarta Pusat;Kemayoran;Sawah Besar;Pasar Baru Timur;Jalan Gunung Sahari Raya
Jakarta Pusat;Kemayoran;Sawah Besar;Lapangan Banteng;Jalan Gunung Sahari Raya
Jakarta Pusat;Senen;Senen;Tanah Tinggi;Jalan Tanah Tinggi Barat
Jakarta Pusat;Senen;Senen;Kramat Sentiong;Jalan Kramat Raya
Jakarta Pusat;Senen;Senen;Kwitang;Jalan Prajurit Kko Usman & Harun
Jakarta Pusat;Senen;Senen;Flyover Pramuka;Flyover Pramuka Matraman
Jakarta Pusat;Senen;Senen;Pal Putih;Jalan Kramat Raya
Jakarta Pusat;Senen;Senen;RSPAD;Sal PHB Jalan Kwini
Jakarta Pusat;Senen;Senen;Paseban;Jalan Salemba Raya
Jakarta Pusat;Senen;Senen;Salemba;Jalan Salemba Raya
Jakarta Pusat;Senen;Senen;Pasar Senen;Jalan Letnan Jenderal Suprapto
Jakarta Pusat;Senen;Senen;Senen Sentral;Jalan Kramat Raya
Jakarta Pusat;Senen;Senen;Senen Raya;Jalan Haji Imam Sapi'ie
Jakarta Pusat;Senen;Senen;Pejambon;Jalan Abdulrahman Saleh
Jakarta Selatan;Setiabudi;Setiabudi;Galunggung;Jalan Galunggung
Jakarta Selatan;Setiabudi;Setiabudi;Rasuna Said;Jalan Hajjah R. Rasuna Said
Jakarta Selatan;Setiabudi;Setiabudi;Halimun;Jalan Galunggung
Jakarta Selatan;Setiabudi;Setiabudi;Karet Kuningan;Jalan Hajjah R. Rasuna Said
Jakarta Selatan;Setiabudi;Setiabudi;Denpasar Arah Timur;Jalan Gatot Subroto
Jakarta Selatan;Setiabudi;Setiabudi;Kuningan Madya;Jalan Hajjah R. Rasuna Said
Jakarta Selatan;Setiabudi;Setiabudi;Underpass Kuningan;Jalan Hajjah R. Rasuna Said
Jakarta Selatan;Setiabudi;Setiabudi;Widya Chandra Telkomsel Arah Timur;Jalan Gatot Subroto
Jakarta Selatan;Setiabudi;Setiabudi;Pasar Rumput;Jalan Sultan Agung
Jakarta Selatan;Setiabudi;Setiabudi;Patra Kuningan;Jalan Hajjah R. Rasuna Said
Jakarta Selatan;Setiabudi;Setiabudi;Tegal Parang Arah Timur;Jalan Jenderal Gatot Subroto
Jakarta Selatan;Setiabudi;Setiabudi;Setiabudi;Jalan Hajjah R. Rasuna Said
Jakarta Selatan;Setiabudi;Setiabudi;Kuningan;Jalan Hajjah R. Rasuna Said
Kota Bekasi;Bekasi Utara;Summarecon;Summarecon Bekasi;Jalan Bulevar Ahmad Yani
Jakarta Timur;Ciracas;Susukan;Tanah Merdeka Arah Barat;Jalan Supriyadi
Jakarta Timur;Ciracas;Susukan;Flyover Raya Bogor;Jalan Supriyadi
Jakarta Barat;Taman Sari;Taman Sari;Sawah Besar;Jalan Hayam Wuruk
Jakarta Barat;Taman Sari;Taman Sari;Mangga Besar;Jalan Gajah Mada
Jakarta Barat;Taman Sari;Taman Sari;Taman Sari;Jalan Hayam Wuruk
Jakarta Barat;Taman Sari;Taman Sari;Glodok;Jalan Hayam Wuruk
Jakarta Barat;Taman Sari;Taman Sari;Kota;Jalan Gajah Mada
Jakarta Barat;Taman Sari;Taman Sari;Museum Sejarah Jakarta;Jalan Kunir
Jakarta Barat;Taman Sari;Taman Sari;Mangga Dua Raya;Jalan Mangga Dua Raya
Jakarta Barat;Tambora;Tambora;Jembatan Besi;Jalan Profesor Doktor Latumeten
Jakarta Barat;Tambora;Tambora;Jembatan Dua;Jalan Jembatan Dua Flyover
Jakarta Barat;Tambora;Tambora;Kali Besar;Jalan Kali Besar Timur
Jakarta Barat;Tambora;Tambora;Bandengan;Jalan Bandengan Selatan
Jakarta Barat;Tambora;Tambora;Gedong Panjang;Jalan Gedong Panjang
